	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RPS15AP11	2.881838708	-3.798027288	0.574860862	-6.606863575	3.93E-11	8.59E-07
DHRS7C	3.880859031	-3.686316492	0.559755543	-6.585582826	4.53E-11	9.91E-07
EDNRA	120.036821	2.018789001	0.307236311	6.570802115	5.00E-11	1.09E-06
EGFL6	37.94249189	3.55579958	0.541794508	6.563004105	5.27E-11	1.15E-06
IL11	15.33095071	4.260509494	0.651797037	6.536558544	6.30E-11	1.38E-06
COL1A2	11001.39179	2.088902143	0.320438406	6.518888197	7.08E-11	1.55E-06
SULT1A1	390.3407067	-1.608126374	0.247209257	-6.505121983	7.76E-11	1.70E-06
COMP	57.97007823	5.512836589	0.848053607	6.500575607	8.00E-11	1.75E-06
S100A11	1358.665949	1.485935286	0.228830828	6.493597459	8.38E-11	1.83E-06
TCN1	18.52857285	5.145443583	0.795309794	6.469734965	9.82E-11	2.15E-06
PHLDA1	377.4706935	1.941244204	0.300806481	6.453465354	1.09E-10	2.39E-06
SHISA2	14.09768124	2.659224289	0.41221327	6.451088505	1.11E-10	2.43E-06
MIR4435-2HG	37.59341767	1.595685359	0.247399762	6.449825777	1.12E-10	2.45E-06
ARNTL2	109.5263519	1.701168379	0.264512554	6.431333222	1.26E-10	2.77E-06
CPXM1	125.7540736	2.543057976	0.396030333	6.421371706	1.35E-10	2.95E-06
HILPDA	121.1063319	1.939681659	0.303353056	6.394139167	1.61E-10	3.53E-06
PRECSIT	29.83649925	2.458388632	0.384831052	6.388228342	1.68E-10	3.67E-06
UNC5C	106.0264708	-1.638459788	0.256938082	-6.376866259	1.81E-10	3.95E-06
OSM	29.49965394	2.736072851	0.429425424	6.371473833	1.87E-10	4.09E-06
TMEM132A	225.3331365	1.772877736	0.278943028	6.355698318	2.07E-10	4.53E-06
COL12A1	1325.500363	2.061749158	0.32466841	6.350322659	2.15E-10	4.70E-06
E2F6	55.09773961	0.782335137	0.123930534	6.312690737	2.74E-10	5.99E-06
ODAM	8.46875767	3.296577202	0.522661807	6.307285435	2.84E-10	6.21E-06
CDH11	398.1745018	1.402390233	0.222385037	6.306135743	2.86E-10	6.25E-06
CELSR3	129.4884377	1.838144608	0.291511909	6.305555794	2.87E-10	6.28E-06
0.147	24.38552855	4.531599046	0.720873195	6.28626377	3.25E-10	7.11E-06
ANPEP	4114.573332	-3.111780067	0.495954887	-6.274320808	3.51E-10	7.67E-06
MMP14	2474.417574	1.382149379	0.220377603	6.271732519	3.57E-10	7.80E-06
ROBO2	42.22535521	2.169147185	0.347038812	6.250445515	4.09E-10	8.94E-06
SH3TC2	36.70923174	2.259443167	0.361644724	6.247687343	4.17E-10	9.10E-06
PLIN1	30.40656699	-2.788069397	0.446481254	-6.244538538	4.25E-10	9.29E-06
GFI1B	9.035221552	-1.850127532	0.296404338	-6.241904359	4.32E-10	9.44E-06
PRRX1	127.2012046	1.851375364	0.296759493	6.238639058	4.41E-10	9.64E-06
PSPH	112.889723	1.169177554	0.187445926	6.237412454	4.45E-10	9.72E-06
ASPHD1	40.64986819	1.779390589	0.285611256	6.230113676	4.66E-10	1.02E-05
BHLHE40	1251.277738	1.279288593	0.20591476	6.212709524	5.21E-10	1.14E-05
ZFAS1	234.3498006	1.196207766	0.193089236	6.19510331	5.82E-10	1.27E-05
VCAN	632.32006	1.340800049	0.216607477	6.189998922	6.02E-10	1.31E-05
STRIP2	29.77876963	2.444452522	0.397158526	6.154853449	7.51E-10	1.64E-05
DCUN1D5	167.8714471	1.08461547	0.17645498	6.146697983	7.91E-10	1.73E-05
ANXA3	430.3684362	1.325453207	0.215771209	6.142864061	8.10E-10	1.77E-05
PRSS33	18.1906621	3.485943088	0.56841784	6.132712317	8.64E-10	1.89E-05
PODXL	623.0023989	1.082389878	0.177282456	6.105453983	1.03E-09	2.24E-05
COL7A1	277.9329369	1.819157094	0.298125364	6.101986999	1.05E-09	2.29E-05
SIM2	44.29216843	3.602670526	0.592033117	6.08525169	1.16E-09	2.54E-05
C2CD4A	43.47913386	2.86777779	0.471280679	6.085073968	1.16E-09	2.54E-05
ESM1	42.30101044	3.805954333	0.626119591	6.078637991	1.21E-09	2.65E-05
OTOP2	298.7880611	-4.555432138	0.749942102	-6.07437844	1.24E-09	2.72E-05
PDX1	69.27441108	3.597197759	0.59235945	6.072660376	1.26E-09	2.75E-05
CORIN	7.054399697	2.766687723	0.456772187	6.057040689	1.39E-09	3.03E-05
CDC14A	142.2670631	-1.272978284	0.210689942	-6.041950888	1.52E-09	3.32E-05
KLK10	92.37698475	3.910526142	0.647698153	6.037574945	1.56E-09	3.41E-05
RNF152	268.4997387	-1.728404615	0.28697434	-6.022854219	1.71E-09	3.74E-05
KRT6B	16.73670913	5.055077655	0.841076486	6.010247274	1.85E-09	4.04E-05
MCIDAS	2.882550505	3.928169705	0.653745554	6.008713454	1.87E-09	4.08E-05
CSF3	7.56289412	4.144155532	0.690675294	6.000150239	1.97E-09	4.30E-05
IL1A	14.43814316	3.638105043	0.606564412	5.997887401	2.00E-09	4.36E-05
TEAD4	105.907457	1.596419263	0.266188513	5.997325907	2.01E-09	4.38E-05
ITGA11	163.1807479	1.746749602	0.292087774	5.980221546	2.23E-09	4.86E-05
SH3PXD2B	376.9041178	1.16071428	0.194104209	5.979851175	2.23E-09	4.87E-05
EPHB4	939.6099069	0.97768024	0.163530572	5.978577767	2.25E-09	4.91E-05
COL3A1	16549.16529	1.962108243	0.32852866	5.972411175	2.34E-09	5.10E-05
SPHK1	68.86251906	1.791693922	0.300050052	5.971316815	2.35E-09	5.13E-05
LUZP2	22.97057215	-2.309546801	0.387338849	-5.962600463	2.48E-09	5.42E-05
ACKR2	24.22926023	-1.512080732	0.25386837	-5.956160389	2.58E-09	5.63E-05
FOSL1	37.35822442	3.129324398	0.525581925	5.954018294	2.62E-09	5.71E-05
GDPD5	117.2149828	1.860277728	0.312810899	5.946972232	2.73E-09	5.96E-05
ISM2	12.80395224	5.18247311	0.871798966	5.944573592	2.77E-09	6.04E-05
DUSP4	97.38715121	1.964710366	0.330885472	5.937735362	2.89E-09	6.30E-05
TNC	1352.045814	2.553760704	0.430123519	5.937272876	2.90E-09	6.32E-05
TBC1D16	487.4871035	1.051296127	0.177331221	5.928432238	3.06E-09	6.67E-05
MRPL17	369.4484175	0.852976608	0.1440573	5.921092568	3.20E-09	6.97E-05
F2R	347.3510105	1.098668507	0.185931855	5.908984798	3.44E-09	7.51E-05
KIAA1549	116.1465888	1.626445531	0.275363172	5.906547055	3.49E-09	7.62E-05
ZMYND19	151.8656945	0.947110414	0.16048323	5.901616085	3.60E-09	7.85E-05
ABCA10	44.39526026	-1.72614852	0.292804213	-5.895231154	3.74E-09	8.16E-05
IL1B	158.495845	2.516808103	0.426970436	5.894572295	3.76E-09	8.19E-05
SPARC	7260.209719	1.898574598	0.323692519	5.86536446	4.48E-09	9.77E-05
ACAT1	1063.349567	-1.046390056	0.178469204	-5.863140723	4.54E-09	9.90E-05
TMEM185B	171.6985743	0.816893386	0.139424744	5.859027313	4.66E-09	0.000101484
IARS1	984.3121288	1.002533459	0.171130449	5.858299704	4.68E-09	0.000101925
PDE8A	699.9098773	-0.957990715	0.163647648	-5.853984016	4.80E-09	0.000104602
CYP2D6	35.53729338	-1.188865038	0.203088173	-5.85393537	4.80E-09	0.000104628
ZSWIM4	55.53388552	1.009690834	0.172754369	5.844661639	5.08E-09	0.000110621
RASL10B	17.28054995	3.446401448	0.589804418	5.843295404	5.12E-09	0.000111527
KIAA1549L	19.79304228	3.439341272	0.588957566	5.839709807	5.23E-09	0.000113949
CCN4	66.4879186	2.397072985	0.410900123	5.833712012	5.42E-09	0.000118118
BLACAT1	13.4217541	3.597835362	0.616970404	5.831455343	5.49E-09	0.000119722
TMEM165	572.4303054	0.689000057	0.11833438	5.822484213	5.80E-09	0.000126325
RUNX1	404.2017819	1.111582181	0.191211708	5.813358366	6.12E-09	0.000133406
CD163L1	494.2824974	-2.000656762	0.344351458	-5.809926796	6.25E-09	0.000136163
HADHA	2674.783615	-0.490904173	0.084528253	-5.807575073	6.34E-09	0.000138082
CDH23	34.61835754	-1.319165559	0.227196858	-5.806266734	6.39E-09	0.000139159
SLC35G1	166.6800977	-1.268832266	0.218577007	-5.8049668	6.44E-09	0.000140236
CYP3A4	41.82270126	-2.680398508	0.46191823	-5.802755407	6.52E-09	0.000142093
NPFFR1	13.96430175	2.456302601	0.423466387	5.800466522	6.61E-09	0.000144039
TG	31.89680688	3.034112121	0.524427284	5.785572598	7.23E-09	0.000157395
TESK2	134.3456319	-1.125037509	0.194800789	-5.775323156	7.68E-09	0.000167275
WNT5A	154.8524564	1.486325879	0.25751165	5.771878193	7.84E-09	0.000170724
CCNYL1	285.7428197	-0.850429282	0.147634235	-5.760379907	8.39E-09	0.000182763
ILDR2	14.30889912	1.826149351	0.317205271	5.756995604	8.56E-09	0.000186455
CHRDL2	79.50506397	3.601461834	0.627025055	5.743728752	9.26E-09	0.000201667
POLR1A	576.3520706	0.770800717	0.134429155	5.73388057	9.82E-09	0.00021373
PMEPA1	878.4159117	1.70810018	0.297923243	5.733356559	9.85E-09	0.000214382
LY9	37.39602852	-1.771137718	0.308979428	-5.732218908	9.91E-09	0.000215815
MSX1	10.73247797	2.809634591	0.490230224	5.731255348	9.97E-09	0.000217035
S100A2	25.49713258	3.307641977	0.577369093	5.728817175	1.01E-08	0.000220167
LINC00494	6.435331605	-2.302265208	0.401892216	-5.728563821	1.01E-08	0.000220486
CDH3	269.6387831	3.427123447	0.598252777	5.728554184	1.01E-08	0.000220489
PRPF4	353.3518969	0.775387567	0.135448943	5.724574532	1.04E-08	0.000225709
ATP11A	501.1110934	1.567035893	0.273812588	5.723023566	1.05E-08	0.00022777
CAD	524.9802373	0.881919323	0.154388222	5.712348473	1.11E-08	0.000242522
SCTR	6.166409294	-1.956898747	0.342818966	-5.708256953	1.14E-08	0.000248412
BYSL	153.2956972	1.206097784	0.21135461	5.706512796	1.15E-08	0.000250958
AP3S2	314.0219942	-1.038471457	0.182029646	-5.704957853	1.16E-08	0.000253248
CADPS	98.22170369	1.678579836	0.294364043	5.702394278	1.18E-08	0.000257076
LZTS1	40.18448793	2.108285143	0.369888269	5.699789151	1.20E-08	0.000261024
TACSTD2	60.96270736	2.650443971	0.465426846	5.69465211	1.24E-08	0.000268993
LOXL2	422.9750131	1.763729904	0.309720196	5.694591204	1.24E-08	0.000269077
ATG9B	15.6474584	2.480137595	0.435657784	5.692857293	1.25E-08	0.000271812
F2RL2	47.21691781	2.16431491	0.380455581	5.688745333	1.28E-08	0.000278425
KIAA0895	36.3672191	1.471232637	0.258684566	5.687361485	1.29E-08	0.000280677
NUP188	438.7937532	0.748808612	0.131753794	5.683393152	1.32E-08	0.000287258
ZNF697	78.61165781	1.000553648	0.176077878	5.682449493	1.33E-08	0.000288834
PEX26	1366.122689	-1.297399563	0.228337399	-5.681940704	1.33E-08	0.000289682
CKMT2	64.28624375	3.510570244	0.617923588	5.681236824	1.34E-08	0.000290863
LIPC	13.49562473	-2.337203188	0.411560526	-5.678880847	1.36E-08	0.000294884
CPSF3	279.2960467	0.705285185	0.124216487	5.677870987	1.36E-08	0.000296616
ETV4	303.1354036	3.027032887	0.533424198	5.674719857	1.39E-08	0.000302114
NKILA	19.55840074	1.697393024	0.299735347	5.662972487	1.49E-08	0.000323537
JCAD	175.8000487	1.537229583	0.27154238	5.661103729	1.50E-08	0.000327065
ZDHHC7	886.4701231	-0.503362983	0.088949191	-5.658994488	1.52E-08	0.000331095
ACAA1	824.0184115	-0.744839073	0.131756412	-5.653152354	1.58E-08	0.000342537
CNN2	827.3870926	1.125026378	0.199058573	5.651735374	1.59E-08	0.000345357
MTHFD1L	171.7263168	1.871464675	0.331196232	5.65062188	1.60E-08	0.000347586
SPPL2A	853.8059089	-0.992116837	0.175689094	-5.647002967	1.63E-08	0.000354963
ENC1	861.616368	1.188968266	0.210576728	5.646247221	1.64E-08	0.00035651
KRT17	74.74310809	4.605387445	0.815811581	5.645160663	1.65E-08	0.000358752
CCDC113	62.32716075	1.39766816	0.247684768	5.642931429	1.67E-08	0.000363414
LINC00920	28.24721916	1.439540684	0.255118904	5.642626493	1.67E-08	0.000364041
CARMIL2	63.94818532	-1.247187979	0.221730941	-5.624780962	1.86E-08	0.000403732
GPX8	127.4700756	1.377786719	0.245337986	5.615871967	1.96E-08	0.000425079
CREB3L3	45.60386314	-2.726300411	0.485779218	-5.61222117	2.00E-08	0.000434128
PAG1	618.7042419	-1.125073012	0.200577673	-5.60916376	2.03E-08	0.000441846
MACC1	385.7601452	2.026740293	0.361440337	5.607399293	2.05E-08	0.000446352
ADAMTS2	281.869511	2.100871371	0.375337121	5.597291746	2.18E-08	0.000473141
RRP9	232.2868117	0.861074124	0.153922348	5.594211208	2.22E-08	0.000481596
SPNS2	199.4538442	1.301494066	0.233364308	5.577091363	2.45E-08	0.000531434
SLC36A1	760.1867933	-1.392236717	0.249765793	-5.574168913	2.49E-08	0.000540406
SDHD	538.0114344	-0.585357559	0.105080058	-5.570586581	2.54E-08	0.000551612
MXI1	632.490072	-0.994372171	0.178620018	-5.566969387	2.59E-08	0.000563155
C1orf115	925.9770212	-1.524267799	0.273819354	-5.566691234	2.60E-08	0.000564028
SMPDL3A	843.6237763	-1.667315992	0.299552543	-5.566021829	2.61E-08	0.000566172
TPD52L2	1117.792861	0.69452911	0.124809098	5.564731434	2.63E-08	0.000570351
LARGE2	98.86101198	2.788106413	0.501277123	5.5620061	2.67E-08	0.000579306
APLN	47.01137905	2.540254323	0.457126401	5.557006373	2.74E-08	0.000596113
HAPLN3	77.71214708	1.371276364	0.246891045	5.554176199	2.79E-08	0.000605823
FUCA1	1331.970578	-1.202702524	0.216564216	-5.553560719	2.80E-08	0.000607933
GNA13	841.9247636	-0.699536858	0.12602643	-5.550715495	2.85E-08	0.000617883
LINC02490	5.320563673	-3.49099893	0.629076912	-5.54939923	2.87E-08	0.000622524
IL16	190.3535654	-1.264007555	0.227903939	-5.546229515	2.92E-08	0.000633881
TM4SF1	684.8319239	1.177888895	0.212545173	5.541828481	2.99E-08	0.000649994
LTBP2	324.4979485	1.0762254	0.194248927	5.540444508	3.02E-08	0.000655122
ANKS6	290.3634183	0.824841277	0.148933576	5.538316464	3.05E-08	0.0006631
FAM98A	472.6334733	0.526740711	0.095116999	5.53781886	3.06E-08	0.000664956
IL6	24.08385743	3.272798526	0.591632708	5.531807965	3.17E-08	0.000688123
TNFSF15	102.1676564	1.300678699	0.235162813	5.530971005	3.18E-08	0.000691383
SOX4	1094.022339	1.245395348	0.225377502	5.525819282	3.28E-08	0.00071195
LGR5	218.6548356	2.257990735	0.408844229	5.522863168	3.34E-08	0.000724004
IBSP	4.701562734	5.00402067	0.906154097	5.522262369	3.35E-08	0.000726451
CGREF1	88.32998731	2.336281385	0.42310462	5.521758149	3.36E-08	0.000728506
STRA6	27.86833125	3.442571551	0.624422319	5.513210282	3.52E-08	0.000764769
CALU	1221.482626	1.091036194	0.198044758	5.509038498	3.61E-08	0.000783078
SHROOM4	186.5119127	1.470922774	0.267031485	5.508424505	3.62E-08	0.000785778
H19	47.34152124	2.997096007	0.544358253	5.505741837	3.68E-08	0.000797802
OLA1	653.1062652	0.776783777	0.141104301	5.505032586	3.69E-08	0.000800984
RGS13	15.70606386	-1.987080655	0.36111787	-5.502581895	3.74E-08	0.000812164
TESC	95.145351	2.399236447	0.436142593	5.501036783	3.78E-08	0.000819277
MMP13	3.497364128	4.144910219	0.753519678	5.500732546	3.78E-08	0.000820654
FAM151A	29.70259197	-1.407510167	0.256043222	-5.49715848	3.86E-08	0.000837417
BICD1	89.13925845	1.112441198	0.202387621	5.496587156	3.87E-08	0.000840095
UGGT2	189.3255836	1.040996953	0.189425199	5.495556856	3.89E-08	0.000844976
TP53INP2	1252.167877	-1.381875017	0.251485394	-5.494851985	3.91E-08	0.000848318
COL5A1	1720.310302	1.666659859	0.303390176	5.493453621	3.94E-08	0.000855027
C6orf223	138.9340986	3.503575445	0.637957333	5.491864839	3.98E-08	0.000862716
RBKS	56.44001826	-0.801301511	0.146000606	-5.488343745	4.06E-08	0.000880047
NOX4	8.539832532	2.744724084	0.500241	5.486803528	4.09E-08	0.000887711
RASAL2	313.4201111	0.691426949	0.126029549	5.486228856	4.11E-08	0.000890561
ANLN	287.6702002	1.89286618	0.345147966	5.484216526	4.15E-08	0.000900715
SLCO4A1-AS1	22.6971892	2.09014995	0.381180833	5.483355317	4.17E-08	0.000905071
GRAMD2B	300.4319099	-1.015085549	0.1853339	-5.477063538	4.32E-08	0.000937794
MRPL50	246.3199683	0.718393302	0.131246553	5.473616536	4.41E-08	0.000956184
GDF15	698.971322	1.919709837	0.350896593	5.470870542	4.48E-08	0.000971075
DSG3	26.91922422	3.916097378	0.715844587	5.470597181	4.49E-08	0.00097253
MS4A10	5.304517616	-3.499366213	0.640208129	-5.465982162	4.60E-08	0.000998132
GTF2IRD1	285.7704016	1.506633741	0.275750074	5.463765504	4.66E-08	0.001010636
IFRD2	426.4113259	0.820559355	0.150183193	5.463722914	4.66E-08	0.001010832
CLECL1	12.14815245	-1.576600419	0.28867148	-5.461573209	4.72E-08	0.001023105
NFE2L3	479.7341744	1.937169863	0.354731849	5.460941465	4.74E-08	0.001026705
KLHL35	12.46217691	2.101418536	0.385219641	5.455117838	4.89E-08	0.001060881
0.12463	21.95558347	2.581505145	0.473261701	5.454709597	4.91E-08	0.001063272
PEX11A	203.3417694	-0.975160457	0.178785249	-5.454367529	4.91E-08	0.001065271
IQANK1	128.7444996	1.889361435	0.34643302	5.453756787	4.93E-08	0.001068889
ZZEF1	1481.628033	-1.026742835	0.18827541	-5.453409098	4.94E-08	0.001070933
MAFG-DT	12.14138029	1.921452498	0.352365701	5.45300661	4.95E-08	0.001073311
MIER3	712.6020312	-1.231806003	0.226009824	-5.450232122	5.03E-08	0.001090141
HIGD1A	600.949739	-1.139176233	0.209099381	-5.448013421	5.09E-08	0.001103773
NWD2	8.319149239	-2.005277697	0.368117761	-5.447380996	5.11E-08	0.001107652
SLC25A20	364.4659158	-0.837887912	0.153882652	-5.444979656	5.18E-08	0.001122647
PRR7	21.25928838	1.870378617	0.343579634	5.443799439	5.22E-08	0.001130063
FPR1	40.49121537	1.824374943	0.335186767	5.442860891	5.24E-08	0.001135983
SLC5A11	7.739769408	-2.594632955	0.476870763	-5.440956239	5.30E-08	0.001148144
SLC7A1	1001.189098	1.223027773	0.224885502	5.438446503	5.37E-08	0.001164378
TRAF5	282.9468038	0.877690868	0.161430762	5.436949292	5.42E-08	0.001174147
HAGHL	46.85231504	1.643608538	0.302353942	5.43604137	5.45E-08	0.001180088
DACH1	183.4195385	1.797492447	0.330673775	5.435848213	5.45E-08	0.001181312
LRP8	88.53009945	1.87437544	0.344900755	5.434535626	5.49E-08	0.001189986
RGS16	83.60088462	1.635277362	0.301080794	5.431357286	5.59E-08	0.001211324
P4HA3	22.83687416	2.583019327	0.475751536	5.429345214	5.66E-08	0.001225002
SLC25A34	56.07436464	-1.799078755	0.331523354	-5.426702922	5.74E-08	0.00124321
MRGBP	244.8671658	1.028819381	0.189776602	5.421213006	5.92E-08	0.001281948
ACTN1	2188.713895	1.120726617	0.206902197	5.416697519	6.07E-08	0.001314673
PELATON	20.57789526	1.871822972	0.345596134	5.416215019	6.09E-08	0.001318163
CEP72	48.330271	1.46375465	0.270299766	5.415301214	6.12E-08	0.001324852
LEMD1	10.09031206	3.922288379	0.724623931	5.41286067	6.20E-08	0.001342982
HTRA3	252.6145767	1.742896868	0.322100846	5.411028524	6.27E-08	0.001356734
GNG7	101.3061847	-1.69301521	0.312947762	-5.40989717	6.31E-08	0.00136527
GJC1	58.21298227	1.83117784	0.338930706	5.402808909	6.56E-08	0.00142029
EPHX2	823.8378237	-1.163880532	0.215433299	-5.402509895	6.57E-08	0.001422595
WDR4	126.0186512	1.117851638	0.206956836	5.401375759	6.61E-08	0.001431554
SERPINH1	1405.29692	1.194503795	0.221186026	5.40044874	6.65E-08	0.001438905
REG4	1162.565476	3.173292865	0.587637354	5.400087049	6.66E-08	0.001441742
MSX2	24.46481998	3.52555903	0.653352547	5.396105129	6.81E-08	0.001474022
PLCL2	221.6465888	-1.461362185	0.270826398	-5.395937015	6.82E-08	0.001475335
UTS2B	5.146193403	-2.195265403	0.406855031	-5.395694374	6.83E-08	0.001477262
UGT1A1	22.08746519	-2.268443488	0.42044398	-5.39535252	6.84E-08	0.00148001
HTR1D	22.7158242	3.653202379	0.677259648	5.394094254	6.89E-08	0.001490348
ANKRD33B	47.38569617	-1.173016658	0.217473595	-5.393834863	6.90E-08	0.001492433
SPECC1L	347.1130427	-0.835459884	0.155084978	-5.38711032	7.16E-08	0.00154927
MET	778.2421563	1.199517838	0.222779515	5.384327359	7.27E-08	0.001573357
IFITM1	1074.310757	1.492405015	0.277206606	5.38372817	7.30E-08	0.001578534
CPNE7	114.0400371	3.276009073	0.608869127	5.3804815	7.43E-08	0.001607197
OAF	783.0335848	-0.806842187	0.150021271	-5.37818525	7.52E-08	0.00162775
PCDH17	59.21720669	1.414996344	0.263253829	5.375026635	7.66E-08	0.001656468
APOLD1	205.4611616	1.957256655	0.364425482	5.370800762	7.84E-08	0.001695684
TEX10	209.897723	0.792421822	0.147591939	5.369004754	7.92E-08	0.001712577
LINC01614	4.530578204	4.028112811	0.750714349	5.365706432	8.06E-08	0.001744092
IL6R	484.7890328	-1.40524261	0.261914361	-5.365275141	8.08E-08	0.001748184
LMNB2	1202.530577	0.996212102	0.185715762	5.36417638	8.13E-08	0.001758776
PRELID3A	17.9970481	1.105485889	0.206203931	5.361129064	8.27E-08	0.001788626
CFI	25.49543419	1.802266293	0.336342295	5.358428959	8.39E-08	0.001815475
GARS1	881.226905	0.965708647	0.180307311	5.35590398	8.51E-08	0.00184093
STAP1	16.68501059	-1.769476032	0.330475634	-5.35433131	8.59E-08	0.001856926
PAQR4	107.8392837	1.400414446	0.261568493	5.353911064	8.61E-08	0.00186116
0.12306	15.28454446	-1.514425426	0.282921955	-5.352802767	8.66E-08	0.001872513
SNRPD2	945.6834119	0.53016847	0.099079234	5.350954472	8.75E-08	0.001891654
GLTP	562.3121899	-0.98186197	0.183495812	-5.350868541	8.75E-08	0.001892465
JAG2	186.48648	1.307604065	0.244389034	5.350502208	8.77E-08	0.001896213
PIBF1	184.5656879	0.728119796	0.136149917	5.347926852	8.90E-08	0.001923297
FGFRL1	292.6440392	1.068264055	0.19977335	5.347380208	8.92E-08	0.001929024
STK31	20.4316587	2.682664674	0.501819663	5.345873974	9.00E-08	0.001945047
BOD1	293.5663325	0.529578875	0.099097258	5.34403155	9.09E-08	0.001964841
CHSY3	21.33658279	1.58671844	0.296945289	5.343470671	9.12E-08	0.001970842
